created_at,id,text,screen_name,rt,fav
Thu Jun 23 23:24:58 +0000 2016,746121901852893185,"The #Brexit vote could mean trouble for small business lending in the US, via @forbes: https://t.co/3oOHShn7Tg https://t.co/dbEZ5fgsNU",PersonalCapital,1,1
Thu Jun 23 17:32:30 +0000 2016,746033200363773952,"Serious about investing? 5 ways to make sure your portfolio is on track, via @usnewsMoney https://t.co/CDBUYJCtlN https://t.co/v2aCG8djLE",PersonalCapital,0,1
Wed Jun 22 21:02:36 +0000 2016,745723687882493952,"With the #DOLFiduciaryRule, PassiveInvestments &amp; ETFs win over these 3 types of investments: https://t.co/uCMTBmt3rA https://t.co/pi26SPitPK",PersonalCapital,0,0
Wed Jun 22 20:35:39 +0000 2016,745716905919426560,RT @ClubThrifty: Does Frugality Matter If You\u2019re Rich? @personalcapital https://t.co/UTgUHIx2Pk,PersonalCapital,3,0
Wed Jun 22 19:53:33 +0000 2016,745706308137979905,Leadership lessons for financial advisers courtesy of #GameOfThrones via @DuranMoney https://t.co/rSYTiW3j9I https://t.co/f5iA5MR5eY,PersonalCapital,1,1
Wed Jun 22 19:29:55 +0000 2016,745700362770755584,"RT @RachelWitkowski: Add this to your #fintech dictionary: ""fintegration"" -- when you're integrating fintech.",PersonalCapital,3,0
Mon Jun 20 22:21:54 +0000 2016,745018867882156032,Are #creditcards a good move for college students? @KathrynVasel breaks it down: https://t.co/Ua1X5KF82x https://t.co/HETHP7xq2j,PersonalCapital,2,0
Mon Jun 20 17:50:23 +0000 2016,744950539939512320,A father's advice lasts long past Father's Day. What CEO @BillHarris_PC learned from his: https://t.co/k2jxAU4PFO https://t.co/iGpQ0U7Nat,PersonalCapital,2,1
Fri Jun 10 22:51:14 +0000 2016,741402371536785408,A positive US jobs report drives dollar higher this week -- more in today's Market Recap: https://t.co/sjkYIg3jxR https://t.co/aXr0NuH3R4,PersonalCapital,2,2
Thu Jun 09 19:00:21 +0000 2016,740981877821997058,How to stop #wedding &amp; #bachelor/bachelorette party season from breaking the bank this year: https://t.co/7A6jne4HsY https://t.co/qYu0nz0Eso,PersonalCapital,2,3
Wed Jun 01 23:09:42 +0000 2016,738145526139359233,Planning a #bachelor or bachelorette party this summer? How to avoid breaking the bank:  https://t.co/kkJKslb0bG https://t.co/HJtHtVVagM,PersonalCapital,0,2
Tue May 24 16:15:56 +0000 2016,735142297612910593,RT @TDASchweiss: @PersonalCapital Bill Harris: DOL rule will accelerate move toward low-cost investing and toward fiduciary standard https:\u2026,PersonalCapital,2,0
Mon May 23 23:06:17 +0000 2016,734883177500528640,"First time contributing to a #401k? CEO @BillHarris_PC on where to start, via @TheStreet: https://t.co/ZXArDFNcZm https://t.co/YU2pm1R2eg",PersonalCapital,0,5
Fri May 20 23:13:53 +0000 2016,733797924551852032,Increasing expectation for a #Fed rate hike in June created a choppy week for #stocks: https://t.co/PXRhUh0E68 https://t.co/JulMLMtDG2,PersonalCapital,0,2
Thu May 19 17:24:39 +0000 2016,733347648615276544,We're excited to announce our $75 million Series E round. What's next at Personal Capital: https://t.co/dvkaMui8PG https://t.co/WqwvMrRHZ3,PersonalCapital,13,53
Fri May 13 23:26:57 +0000 2016,731264497420115968,"This week in #markets, consumer stocks take a hit: https://t.co/3rH34cbwAu https://t.co/CS7DfE5Rc8",PersonalCapital,2,2
Thu May 12 23:49:11 +0000 2016,730907707377491968,How much is too much when you're spending on a #wedding? Find out: https://t.co/00epaH77Lk https://t.co/FSenI21ias,PersonalCapital,1,1
Thu May 12 16:26:53 +0000 2016,730796398799552512,"RT @EhsanLavassani: Looking forward to @the_wug, Director of Mobile Technologies @PersonalCapital, talk at @Apps_World on ""Building an iOS\u2026",PersonalCapital,3,0
