created_at,id,text,screen_name,followers,friends,rt,fav
Sun Jan 08 23:15:10 +0000 2017,818234623046066177,Thinking about a #SideHustle to up your income? Consider one that boosts your career goals too! https://t.co/FsI6WmpGLw @LordRavenscraft,mint,242609,7830,2,10
Sat Jan 07 22:51:08 +0000 2017,817866183466778626,Bon app\xe9tit \u2014 @KBGreene serves up spending tips in this food lover\u2019s guide to eating on a budget https://t.co/5xOX9r9By8 @AlyseWhitney,mint,242609,7830,0,5
Fri Jan 06 23:10:10 +0000 2017,817508586389733376,Owning dividend stocks is kinda like getting paid to invest. #WhatTheFinance #Investing https://t.co/ah1Y32GMDP,mint,242609,7830,10,15
Fri Jan 06 21:04:06 +0000 2017,817476860883955713,Got a 2017 #resolution of the financial sort? We can help you keep it! https://t.co/2HBIk52dXP by @caleweissman via\u2026 https://t.co/cDxRSKMO04,mint,242609,7830,2,6
Fri Jan 06 20:45:09 +0000 2017,817472091717062660,RT @likebossgirls: Why @mint is the app for #millennials serious about budgeting https://t.co/Ef7Ycj0Xo8 #likeaboss #fridayreads #money #fi\u2026,mint,242609,7830,5,0
Thu Jan 05 17:51:08 +0000 2017,817065911463149568,"Should you always tip 20%? @FARNOOSH\u2019s tips on tipping for dining, the salon, cabs &amp; ride-sharing services.\u2026 https://t.co/Bbr7s0Uq4O",mint,242609,7830,6,8
Thu Jan 05 17:51:05 +0000 2017,817065898100006913,"When your finances are looking good, and you're ready to take on the world! #PersonalFiiiinance #MoneyManagement https://t.co/N33Rvu9hUD",mint,242609,7830,2,4
Wed Jan 04 23:32:04 +0000 2017,816789325174231040,7 grown-up #goals that will set you up for #FinancialSuccess in 2017 &amp; beyond: https://t.co/ZT15klmwXG @emmiemartin,mint,242609,7830,1,5
Wed Jan 04 16:21:45 +0000 2017,816681030425964545,Week 1 of @FARNOOSH's #SoMinty boot camp is financial goal setting! March over to our Insta (\u2026 https://t.co/36olGyHQgy,mint,242609,7830,2,7
Tue Jan 03 23:07:04 +0000 2017,816420645449961472,"Bills, budgets, #investments \u2014 can\u2019t they all just get along? In Mint, they do! https://t.co/a4z8HhVoUj @engadget",mint,242609,7830,3,4
